PK_Endereco;nm_logradouro;nu_logradouro;nm_bairro;nm_municipio;sg_uf;vl_latitude;vl_longitude
26277;AVENIDA LUIZ CYRINO DA SILVA;134;14900000;JARDIM CONTINENTAL;ITAPOLIS;-21,594701;-48,8153681
24732;AVENIDA RAJA GABAGLIA;4000;30380403;ESTORIL;BELO HORIZONTE;-19,966233;-43,9543374
24709;RUA JOAQUIM TEODCARVALHO;1294;38301115;PLATINA;ITUIUTABA;-18,9782078;-49,4791801
26271;RUA GERALDO DE A CABRAL;4;56163000;CENTRO;PARNAMIRIM;-8,0891182;-39,5793382
24692;RUA VALDIVINO TITO;57;64019060;PICARRA;TERESINA;-5,0984813;-42,8021456
5847;RUA CAMILO STUCHI;227;13150000;REC DAS LARANJEIRAS;COSMOPOLIS;-22,6372563;-47,1754771
26782;RUA MAESTRO CARDIM;377;01323000;LIBERDADE;SAO PAULO;-23,5643514;-46,6410565
26789;RUA 13 DE MAIO;511;16400045;CENTRO;LINS;-21,6766569;-49,7523579
26798;RUA LAURO MULLER;287;88301400;CENTRO;ITAJAI;-26,9075937;-48,6550739
26795;RUA CORONEL AURELIANO CAMARGO;295;18270010;CENTRO;TATUI;-23,3452822;-47,8505158
26791;RUA BUENOS AIRES;99;52020180;ESPINHEIRO;RECIFE;-8,0484068;-34,8938811
26777;RUA ASFALTITE;96;03358130;VILA FORMOSA;SAO PAULO;-23,5650111;-46,5478909
26771;AVENIDA SAO GABRIEL;477;01435000;JARDIM PAULISTA;SAO PAULO;-23,5787839;-46,6709915
26765;AVENIDA MARTIM FRANCISCO;184;09230700;VILA ALTO SANTO ANDRE;SANTO ANDRE;-23,6335112;-46,5135787
26759;RUA DAVID BARCELOS;791;96501360;CENTRO;CACHOEIRA DO SUL;-30,0348308;-52,9039396
26762;RUA FRANCISCO CARVALHO DE ANDRADE;220;14270000;CENTRO;SANTA ROSA DE VITERBO;-21,478884;-47,3629203
26768;PRACA ESTEVAO SANTOS;41;45028135;CENTRO;VITORIA DA CONQUISTA;-14,8619237;-40,8445346
26237;RUA ASSUNCAO DE MARCO TEIXEIRA;72;31910410;FERNAO DIAS;BELO HORIZONTE;-19,871648;-43,9183858
26774;PRACA DO SANTUARIO;374;75388730;CENTRO;TRINDADE;-16,660325;-49,485325
26686;RUA SETE DE SETEMBRO;1036;84010350;CENTRO;PONTA GROSSA;-25,0930111;-50,1585335
26680;RUA COLOMBO;286;80540250;JUVEVE;CURITIBA;-25,4085237;-49,262296
26606;RUA PROFESSOR ALMEIDA COUSIN;125;29050565;ENSEADA DO SUA;VITORIA;-20,3137737;-40,2941848
26627;RUA MARIA ROSA BOREL;16;36976000;CENTRO;ALTO JEQUITIBA;-20,4267378;-41,9644965
26618;AVENIDA GOVERNADOR ALACID NUNES;SN;68600000;CENTRO;BRAGANCA;-1,0616193;-46,7830109
26600;ESTRADA DA PETROBRAS;;08970000;DOS PINTOS;SALESOPOLIS;-23,8461111;-46,6297222
26077;RUA LUIZ WESPTHAL;50;29780000;CACHOEIRA DA ONCA;SAO GABRIEL DA PALHA;-19,0167321;-40,5382136
26477;FAZENDA POCOES;SN;39420000;ZONA RURAL;MIRABELA;-16,2564823;-44,1606144
26073;RUA ARNO GIEHL;486;93950000;INDUSTRIAL;DOIS IRMAOS;-29,5919308;-51,0800359
26577;SITIO SAO LUIZ;SN;15410000;FAZENDA DOS COQUEIROS;CAJOBI;-20,8777608;-48,8067919
26598;FAZENDA SAO JOAO;SN;17380000;BOM SUCESSO;BROTAS;-22,279958;-48,1255698
26551;SITIO SANTA TEREZINHA;SN;18620000;DISTRITO DE PIRAMBOIA;ANHEMBI;-22,7883059;-48,131193
26556;AVENIDA COARACY NUNES;436A;68900010;CENTRAL;MACAPA;0,0355735;-51,070535
26548;ESTRADA AVARE ITATINGA;;18700970;FAZENDA HUMAITA;AVARE;-23,1130304;-48,9139738
25341;RUA TOMIO TAKAHASHI;80;86300000;JARDIM SANTA RITA;CORNELIO PROCOPIO;-23,1812912;-50,6479834
26884;RUA NENE;303;37640000;CENTRO;EXTREMA;-22,8551723;-46,3167065
26818;RUA ODILON LEITE DE ANDRADE;16;56760000;CENTRO;TUPARETAMA;-7,6139885;-37,3121778
26825;RUA GUISELLA;998;88113650;BARREIROS;SAO JOSE;-27,569979;-48,6126433
26831;RUA CICERO MARIA;52;59338000;CENTRO;TENENTE LAURENTINO CRUZ;-6,1484902;-36,7183183
26810;RUA PACATUBA;254;49010900;CENTRO;ARACAJU;-10,9162779;-37,0492687
5856;RUA MONTE LIBANO;200;60762376;MONDUBIM;FORTALEZA;-3,821966;-38,5600615
26821;RUA SITIO DOS PROFESSORES;412;93046000;CAMPESTRE;SAO LEOPOLDO;-29,7549941;-51,150283
26837;RUA CORONEL QUIRINO;137;13015330;CENTRO;CAMPINAS;-22,9062886;-47,0506786
26854;RUA ROBSON M DE OLIVEIRA;140;79500000;CENTRO;PARANAIBA;-19,6632959;-51,1813647
26847;AVENIDA CARLOS BARBOSA;1501;90880001;MEDIANEIRA;PORTO ALEGRE;-30,0688169;-51,2131917
26849;RUA ANTONIO MARIA COELHO;1085;79002221;CENTRO;CAMPO GRANDE;-20,4576614;-54,6196045
25339;RUA APINAJES;628;85806140;SANTA CRUZ;CASCAVEL;-24,9583367;-53,5044226
26844;RUA ANTONIO FRANCA;360;04915000;JARDIM FIGUEIRA GRANDE;SAO PAULO;-23,6774299;-46,7472904
25883;AVENIDA LOUREIRO DA SILVA;2001;90050240;CIDADE BAIXA;PORTO ALEGRE;-30,0353607;-51,2219994
24531;AVENIDA BRIGADEIRO LUIS ANTONIO;3249;01401001;JARDIM PAULISTA;SAO PAULO;-23,5742463;-46,6554165
24508;RODOVIA DO CAFE;SN;83606400;CENTRO;CAMPO LARGO;-25,4532067;-49,5545044
26889;RUA MARECHAL SEREJO;133;22743380;FREGUESIA JACAREPAGUA;RIO DE JANEIRO;-22,9249284;-43,3431213
26893;RUA ATAUFO ALVES;31;54753080;JARDIM PRIMAVERA;CAMARAGIBE;-8,0204422;-34,9817179
25400;RUA ORIGENES FRANCO SIMOES;154;79730000;CENTRO;GLORIA DE DOURADOS;-22,4175999;-54,2309523
5859;AVENIDA LAURA CAVALCANTE;13;54505000;GAIBU;CABO DE SANTO AGOSTINHO;-8,3371229;-34,9537376
25398;RUA XAVIER DA CUNHA;183;90830430;NONOAI;PORTO ALEGRE;-30,0908154;-51,2306394
26841;AVENIDA TANCREDO NEVES;1283;41820021;CAMINHO DAS ARVORES;SALVADOR;-12,9813056;-38,4551499
26055;RUA JOSE ALVES;21;14900000;JARDIM IRACEMA;ITAPOLIS;-21,5890762;-48,8202845
26047;RUA URUANA;390;08555500;JARDIM VIOLETA;POA;-23,5086107;-46,3503804
5862;RUA FRANCISCO MARQUES;740;14405342;V S SEBASTIAO;FRANCA;-20,5320972;-47,4185089
26052;RUA PADRE CESAR BANO;SN;86150000;CENTRO;ALVORADA DO SUL;-22,7817572;-51,23019
25390;RUA BARAO DE LORETO;615;09131180;CONDOMINIO MARACANA;SANTO ANDRE;-23,6961465;-46,4943712
24627;ALAMEDA PADUA;59;41830480;PITUBA;SALVADOR;-13,0025371;-38,4630289
25392;RUA GUARANI;281;09991060;VILA CONCEICAO;DIADEMA;-23,6955366;-46,6125304
25395;RUA MAQUINE;353;30550176;JARDIM AMERICA;BELO HORIZONTE;-19,942863;-43,9777569
25404;RUA TORI KITAMURA;177;14808215;PARQUE CECAP;ARARAQUARA;-21,8347171;-48,1462329
25417;RUA MACAPA;247;60526325;DOM LUSTOSA;FORTALEZA;-3,7508314;-38,5904818
25423;RUA PIATA;633;02080010;CARANDIRU;SAO PAULO;-23,4979881;-46,6046921
25415;RUA PERA MARMELO;307;05185420;JARDIM SANTA LUCRECIA;SAO PAULO;-23,4364381;-46,7511402
26896;RUA PADRE NILDO DO AMARAL JUNIOR;31C;08032650;JARDIM GIANETTI;SAO PAULO;-23,523005;-46,4204835
25407;RUA RUI ROSADO DE AGUIAR;622;95180000;SAO JOSE;FARROUPILHA;-29,235333;-51,361765
25411;RUA ESTRELA;SN;76270000;SETOR ALTO PARAISO;JUSSARA;-15,8586365;-50,8691439
25381;RUA MARIA CANDIDA;659;14092100;JARDIM ZARA;RIBEIRAO PRETO;-21,1825675;-47,7636901
25379;RUA CINCO;;49035516;COROA DO MEIO;ARACAJU;-10,9869415;-37,0992287
25377;;;;;;-20,3253713;-48,310855
25374;RUA JACARANDAS;41A;29199141;COQUEIRAL;ARACRUZ;-19,8189319;-40,2738888
5866;RUA LEOCLIDES GAVA;6;29905580;BOA VISTA;LINHARES;-19,3617355;-40,0480995
24638;RUA TREZE DE MAIO;20;39790000;CENTRO;AGUA BOA;-17,9904968;-42,3920668
26862;RUA OSVALDO ARANHA;1930;95780000;CENTRO;MONTENEGRO;-29,6788164;-51,4481467
26879;RUA PEDRO DE TOLEDO;278;07401355;VILA RIMAN;ARUJA;-23,3915159;-46,3216466
26858;RUA RODOLFO B BARROS;104;42700000;LAURO DE FREITAS;LAURO DE FREITAS;-12,8963793;-38,3074863
26869;AVENIDA ITAJOBI;738A;07787115;JORDANESIA;CAJAMAR;-23,3369599;-46,8263212
26874;RUA LULA GOMES;68;59380000;CENTRO;CURRAIS NOVOS;-6,2634727;-36,5171942
24505;RUA JAIRO TINOCO;277B;59054530;LAGOA NOVA;NATAL;-5,8129868;-35,2191041
25383;RUA ROMA;643;38405076;TIBERY;UBERLANDIA;-18,902623;-48,2519507
24633;AVENIDA MAX TEIXEIRA;779;69093770;COLONIA SANTO ANTONIO;MANAUS;-3,0349758;-59,9939402
25386;AVENIDA PIONEIRO ANTONIO FRANCO DE MORAIS;1288;87083260;JARDIM BRASIL;MARINGA;-23,3866567;-51,9530204
24620;RUA ONZE;27;65053810;COHATRAC II;SAO LUIS;-2,5666526;-44,1957164
25366;AVENIDA MACAPA;335;35164253;VENEZA;IPATINGA;-19,4693058;-42,5315841
24623;AVENIDA DEZENOVE;1624;38300124;CENTRO;ITUIUTABA;-18,9767926;-49,4650756
27205;SQ BLOCO I;;70353500;ASA SUL;BRASILIA;-15,8132458;-47,9095565
25975;RUA FRANCISCO BOTELHO CARVALHO;SN;86150000;CENTRO;ALVORADA DO SUL;-22,7817572;-51,23019
25985;RUA BENTO GONCALVES FILHO;26;31920320;FERNAO DIAS;BELO HORIZONTE;-19,8764097;-43,9141746
25947;RUA BOM SUCESSO;SN;74453050;IPIRANGA;GOIANIA;-16,6622147;-49,3334385
26902;RUA AFONSO SARDINHA;115;05076000;LAPA;SAO PAULO;-23,5224505;-46,7049865
26953;LOCALIDADE VIA ANHANGUERA;SN;14680000;ZONA RURAL;JARDINOPOLIS;-21,0277616;-47,7772049
25956;RUA JOSE ESCAGION;42;18520000;SAO FRANCISCO;CERQUILHO;-23,1638637;-47,7605315
27286;RUA 240;625;74605170;SETOR BUENO;GOIANIA;-16,6842494;-49,2892165
27300;AVENIDA 15 DE NOVEMBRO;1290;95150000;CENTRO;NOVA PETROPOLIS;-29,3766703;-51,1123191
27289;RUA 222;49;88220000;MEIA PRAIA;ITAPEMA;-27,1230074;-48,6060407
27295;RUA ANTONIO GULIN;63;13875240;JARDIM NOVA REPUBLICA;SAO JOAO DA BOA VISTA;-21,9838256;-46,777397
26958;AVENIDA OLEGARIO MACIEL;1476;30180111;DE LOURDES;BELO HORIZONTE;-19,9270305;-43,9467626
27303;RUA DORIVAL CASTILHO MACHADO;105;91755210;HIPICA;PORTO ALEGRE;-30,1602158;-51,192118
26898;RUA ANTONIO MORENO PEREZ;644;13803010;JARDIM MARIA BEATRIZ;MOGI MIRIM;-22,4536965;-46,980366
26900;AVENIDA RAFAEL GONCALVES;1793;97590000;CENTRO;ROSARIO DO SUL;-30,2463732;-54,938617
26948;RUA DOUTOR SALVADOR FRANCA;300;90690000;JARDIM BOTANICO;PORTO ALEGRE;-30,0604611;-51,1849811
26961;AVENIDA BOA VIAGEM;2574;51020000;BOA VIAGEM;RECIFE;-8,1131552;-34,8908424
27051;AVENIDA PROFOTHON GAMA DECA;900;88015240;CENTRO;FLORIANOPOLIS;-27,5876953;-48,5510569
27306;RUA SAO BOAVENTURA;SN;98700000;SAO GERALDO;IJUI;-28,3835297;-53,9272299
27049;RUA ANTONIO SABINO S ROSA;70;18606140;VILA SANTANA;BOTUCATU;-22,8978552;-48,4506295
27044;RUA FREDERICO ETZBERGER;977;91720510;NONOAI;PORTO ALEGRE;-30,0914621;-51,2192005
27046;RUA ANESIO ALVES DE MIRANDA;345;58300970;VARZEA NOVA;SANTA RITA;-7,135868;-34,9662353
27056;RUA GENERAL ARTIGAS;73;22441140;LEBLON;RIO DE JANEIRO;-22,9868202;-43,2254365
27059;AVENIDA INGLATERRA;370;86046430;JERUMENHA;LONDRINA;-23,3424225;-51,1475364
27062;RUA JULIO CONCEICAO;640;01126000;BOM RETIRO;SAO PAULO;-23,5279428;-46,6422352
27064;RUA JOAO ALFREDO;311;90050230;CIDADE BAIXA;PORTO ALEGRE;-30,0400042;-51,2264549
27033;RUA DECIO VILARES;169;22041040;COPACABANA;RIO DE JANEIRO;-22,9660911;-43,1904661
26993;RUA AQUIDABA;57;20720292;MEIER;RIO DE JANEIRO;-22,9071789;-43,2833586
5874;AVENIDA DEDE BRASIL;3912;60000000;SERRINHA;FORTALEZA;-3,7945957;-38,5333329
25991;RUA BOM JARDIM;1338;69553325;SAO JOAO;TEFE;-3,3207288;-64,7235833
27236;RUA ALMIRANTE BARROSO;25;11070001;CAMPO GRANDE;SANTOS;-23,954973;-46,3361866
27234;RUA DESEMBARGADOR MOTTA;2308;80420190;CENTRO;CURITIBA;-25,435128;-49,2829662
25999;TRAVESSA PARANAGUA;106;96840390;ANA NERY;SANTA CRUZ DO SUL;-29,7367647;-52,4300883
27239;RUA BACKER;646;01541000;CAMBUCI;SAO PAULO;-23,570716;-46,6189022
25989;RUA F;115;91230520;JARDIM DOS COQUEIROS PASSO DAS PEDRAS II;PORTO ALEGRE;-30,0479791;-51,153509
27327;QUADRA QC;9;72878360;PARQUE DAS FLORES;VALPARAISO DE GOIAS;-16,0712294;-47,9852008
27330;AVENIDA BRASIL;279;12287020;VILA ANTONIO AUGUSTO LUIZ;CACAPAVA;-23,1027301;-45,710175
25970;RUA RIO DO CEDRO;419;83322300;WEISSOPOLIS;PINHAIS;-25,4611378;-49,1836659
25962;RUA ILHA DE CAPRI;84;08382130;RECANTO VERDE SOL;SAO PAULO;-23,6189741;-46,419768
27281;RUA SILVA SO;222;90610270;RIO BRANCO;PORTO ALEGRE;-30,0399675;-51,2038438
25959;RUA FRANCISCO FROTA VIOLA;;74959310;INDEPENDENCIA DAS MANSOES;APARECIDA DE GOIANIA;-16,820257;-49,2473044
27250;BORGES DE MEDEIROS;708;90020022;CENTRO;PORTO ALEGRE;-30,0327518;-51,2277211
27246;AVENIDA MARECHAL HERMES;200;11700250;CANTO DO FORTE;PRAIA GRANDE;-24,0126477;-46,406233
27244;RUA SETE DE SETEMBRO;471;13630000;CENTRO;PIRASSUNUNGA;-22,0007559;-47,4268225
27262;RUA CANDIDO RODRIGUES;324;11320050;BOA VISTA;SAO VICENTE;-23,9662058;-46,3779832
27256;RUA VITALINO PAGLIATO;57;18310000;PORTAO PRETO;GUAPIARA;-24,1896991;-48,5300136
27253;AVENIDA DAS INDUSTRIAS;5186A;33040130;VILA SANTA RITA;SANTA LUZIA;-19,8088497;-43,8851306
27242;AVENIDA SETE DE SETEMBRO;1907;40080002;VITORIA;SALVADOR;-12,9902378;-38,5244616
27274;RUA RAFAEL DE OLIVEIRA;348;02407050;VILA ZELIA;SAO PAULO;-23,4849653;-46,6267622
27157;TRAVESSA ITALIA;213;12900061;CENTRO;BRAGANCA PAULISTA;-22,9503472;-46,5399551
27269;RUA DEZ DE NOVEMBRO;341;50711210;CORDEIRO;RECIFE;-8,047628;-34,9208048
27266;RUA EVANDIL BANDEIRA;SN;58037690;JARDIM OCEANIA IV;JOAO PESSOA;-7,0780109;-34,8383973
25940;RUA JOSE MARTINS;265;94425350;ESTALAGEM;VIAMAO;-30,0792947;-51,0141845
27276;RUA PIAUI;891;35500034;PROL PARQUE JARDIM CAP SILVA;DIVINOPOLIS;-20,1389612;-44,8985377
27278;AVENIDA FRANCISCO DESLANDES;667;30310530;ANCHIETA;BELO HORIZONTE;-19,9495769;-43,9289064
27109;AVENIDA JOSE DO PATROCINIO MILHOMEM;5;65943000;VILA VIANA;FORMOSA DA SERRA NEGRA;-6,440568;-46,1919918
27105;RUA OSWALDO CRUZ;517;11045101;BOQUEIRAO;SANTOS;-23,9713447;-46,3233233
27094;AVENIDA GETULIO VARGAS;1566;35680037;CENTRO;ITAUNA;-20,082966;-44,578569
27096;RUA SACERDOTE MELQUISEDEQUE;2;06145091;JARDIM CONCEICAO;OSASCO;-23,5328814;-46,7920029
27337;AVENIDA GELU VERVLOET DOS SANTO;560;29090100;JARDIM CAMBURI;VITORIA;-20,2619573;-40,2717067
27123;RUA QUINTINO BOCAIUVA;333;31255550;JARAGUA;BELO HORIZONTE;-19,8650588;-43,9447218
5895;AVENIDA BARAO DE BONITO;710;50740080;BRASILIT;RECIFE;-8,0405048;-34,9526004
27068;RUA BRASIL;185;11410320;PITANGUEIRAS;GUARUJA;-23,9978741;-46,2617902
27135;AVENIDA CASTELO BRANCO;6130;11708400;VILA NOEMIA;PRAIA GRANDE;-24,0240636;-46,4587536
27071;RUA RUI BARBOSA;10;44790000;CENTRO;CAMPO FORMOSO;-10,5095772;-40,3205635
27090;RUA ITAJAI;388;90470140;PETROPOLIS;PORTO ALEGRE;-30,0358219;-51,1844648
27341;RUA QUINTINO BOCAIUVA;110;93510270;CENTRO;NOVO HAMBURGO;-29,6812713;-51,1226154
27152;RUA ENGENHEIRO JOAO ORTIZ;379;11680000;PRAIA GRANDE;UBATUBA;-23,4693065;-45,0700373
5900;RUA TAPAJOS;97;93700000;RIO BRANCO;CAMPO BOM;-29,673809;-51,0473047
27343;RUA COSTA;83;01304010;CONSOLACAO;SAO PAULO;-23,5533121;-46,6552735
27348;AVENIDA DON PEDRO I;1041;11440001;JARDIM TRES MARIAS;GUARUJA;-23,983572;-46,2380319
27350;RUA SAO FIDELIS;1324;31070020;NOVA VISTA;BELO HORIZONTE;-19,8872854;-43,8908962
27352;ALAMEDA MINISTRO ROCHA AZEVEDO;882;01410002;CERQUEIRA CESAR;SAO PAULO;-23,5647814;-46,6629672
27139;RUA FLOR DE ORQUIDEA;94;31255510;SANTA ROSA;BELO HORIZONTE;-19,8684689;-43,9490799
27354;DF 425;;73070043;SOBRADINHO;BRASILIA;-15,801519;-47,860297
27345;RUA MANOEL VIEIRA GARCAO;77;88301425;CENTRO;ITAJAI;-26,9044548;-48,65709
25973;RUA PIMENTA DE PADUA;2486;37950000;CENTRO;SAO SEBASTIAO DO PARAISO;-20,9206699;-46,9782954
5906;RUA JOSE DUARTE CANEROSSI;31;13734585;CONJUNTO HABITACIONAL NELSON NIERO;MOCOCA;-21,4649238;-47,0145295
5908;VILA CHORAO;SN;98700000;INTERIOR;IJUI;-28,3884314;-53,9158062
25980;RUA PASQUAL VALVA;389;04421070;JARDIM LUSO;SAO PAULO;-23,6899788;-46,6400599
27334;SOTER DE ARAUJO;142;08470460;CIDADE TIRADENTES;SAO PAULO;-23,5973357;-46,3994853
25964;RUA IRENE RODRIGUES SOARES;166;59258000;CENTRO;SERRINHA;-6,2785721;-35,4954111
27332;TRAVESSA GUAIO;145;08674150;CENTRO;SUZANO;-23,5382603;-46,3124862
27129;RUA DOM ARMANDO LOMBARDI;746;05616000;BUTANTA;SAO PAULO;-23,5917262;-46,7184983
27142;RUA VESPERAS SICILIANAS;20B;04844510;JARDIM SAO BERNARDO;SAO PAULO;-23,7574507;-46,701402
27154;RUA SANSAO ALVES DOS SANTOS;102;04571921;BROOKLIN NOVO;SAO PAULO;-23,6061855;-46,6949431
27145;RUA ALBERTINO GONCALVES VIEIRA;135;36033180;TEIXEIRAS;JUIZ DE FORA;-21,7865529;-43,3598965
27127;RUA MARIO MACHADO;982;78117436;CRISTO REI;VARZEA GRANDE;-15,6405201;-56,1016941
25983;RUA FIRMO FORTUNATO MAIA;155;89240000;IPEROBA;SAO FRANCISCO DO SUL;-26,2492482;-48,635372
27118;RUA ALESSANDRA SALUM CADAR;415;30575190;BURITIS;BELO HORIZONTE;-19,9793554;-43,9697548
27120;RUA BASTA GOMES;SN;58701165;LIBERDADE;PATOS;-7,0363531;-37,2848046
27115;RUA DOUTOR JOSE BARBOSA;80;36025270;SAO MATEUS;JUIZ DE FORA;-21,779686;-43,3585773
27112;AVENIDA UMBUZEIRO;547;58038100;MANAIRA;JOAO PESSOA;-7,105057;-34,8326703
27018;AVENIDA BEIRA MAR;1304;95590000;CENTRO;TRAMANDAI;-29,9899785;-50,1259463
27015;RUA OITO DE DEZEMBRO;20;40150000;GRACA;SALVADOR;-12,9981031;-38,5248027
27022;RUA SANTA EFIGENIA;308;03813320;LGO SANTA EFIGENIA;SAO PAULO;-23,5391591;-46,6385333
27283;RUA IRAPUA;398;60331300;BARRA DO CEARA;FORTALEZA;-3,7047191;-38,5853267
27037;RUA LAURO LINHARES;;88036001;TRINDADE;FLORIANOPOLIS;-27,5883284;-48,5231269
27027;AVENIDA ROCHA POMBO;1905;83010620;CENTRO;SAO JOSE DOS PINHAIS;-25,5346118;-49,1872007
27011;RODOVIA AUGUSTO MONTENEGRO;SN;66820000;TENONE;BELEM;-1,3963121;-48,4347849
27002;RUA BORGES DE MEDEIROS;191;93310280;CENTRO;NOVO HAMBURGO;-29,6846047;-51,1418563
26968;AVENIDA PRESIDENTE GETULIO VARGAS;5765;92010011;CENTRO;CANOAS;-29,9128003;-51,1772102
27042;RUA PATROCINIO DO SAPUCAI;1036;13091105;JARDIM FLAMBOYANT;CAMPINAS;-22,8803455;-47,0381286
26973;TRECHO JOAO WINCKLER;46;89820000;CENTRO;XANXERE;-26,8797856;-52,3784504
27007;AVENIDA RIO POTY;1870;64049410;SAO CRISTOVAO;TERESINA;-5,0691165;-42,784265
27291;RUA CANDIDO MACHADO;100;92010270;CENTRO;CANOAS;-29,9252669;-51,1790334
26914;RUA PARACATU;357;04302020;PARQUE IMPERIAL;SAO PAULO;-23,6214156;-46,6381885
26910;RUA DOUTOR LUIZ JANUARIO;406;28990790;CENTRO;SAQUAREMA;-22,9326336;-42,4960107
26919;RUA 51;100;88330675;CENTRO;BALNEARIO CAMBORIU;-26,9871766;-48,6330864
26945;SQN 306 BLOCO I;;70745090;ASA NORTE;BRASILIA;-15,7707222;-47,8877059
27313;RUA 3;SN;49092576;OLARIA;ARACAJU;-10,8967604;-37,0984721
25718;RUA DECIO FONSECA;19;59010370;ROCAS;NATAL;-5,7739594;-35,1970945
27132;AVENIDA JONES DOS SANTOS NEVES;27;29300500;GUANDU;CACHOEIRO DE ITAPEMIRIM;-20,8457482;-41,1223254
27202;AVENIDA PRESIDENTE CASTELO BRANCO;12816;11706500;VILA CAICARA;PRAIA GRANDE;-24,0488868;-46,5204693
25752;RUA DOZE;1;65918057;VILA VITORIA;IMPERATRIZ;-5,4825635;-47,486097
25755;RUA ENGENHEIRO RUBENS BLEY;386;29047170;DA PENHA;VITORIA;-20,2976178;-40,2957768
26331;RUA ANTENOR MACHADO;260;36500000;CENTRO;UBA;-21,120693;-42,935173
27195;RUA ALMIRANTE ARY RONGEL;221;22790430;RECREIO DOS BANDEIRANTES;RIO DE JANEIRO;-23,0179441;-43,4705841
27197;CORONEL ALVES TEIXEIRA;910;60130000;ALDEOTA;FORTALEZA;-3,7461933;-38,5132054
27210;RUA NELSON GOMES CARVALHO;111;36035410;VALE DO IPE;JUIZ DE FORA;-21,7624237;-43,3433999
27224;RUA PERNANBUCO;340;15812020;CENTRO;CATANDUVA;-21,1336046;-48,9729747
25595;RUA SEGUNDA TRAVESSA AILTON SIMAS;47;42700000;CENTRO;LAURO DE FREITAS;-12,8820575;-38,3148204
27221;RUA UBERLANDIA;500;12220690;JARDIM ISMENIA;SAO JOSE DOS CAMPOS;-23,1756364;-45,8475009
25683;QR 310 CONJUNTO P;;72510516;SANTA MARIA;BRASILIA;-15,801519;-47,860297
25616;RUA ANGELO DE JESUS PROENCA;131;26020030;ALTO DA POSSE;NOVA IGUACU;-22,7367631;-43,4518634
25495;AVENIDA MANOEL DA COSTA C DE SOUZA;332;15870000;CENTRO;CATIGUA;-21,0500993;-49,0566864
25673;RUA PONTA GROSSA;585;85670000;COLINA VERDE;SALTO DO LONTRA;-25,7808413;-53,3124157
25671;AVENIDA DAS CEREJEIRAS;1474;02124001;JARDIM JAPAO;SAO PAULO;-23,5046542;-46,5766511
27213;RUA WASHINGTON LUIZ;862;90010460;CENTRO;PORTO ALEGRE;-30,0365759;-51,2316365
25666;RUA RIO LIGEIRO;1354;87043200;PARQUE RESIDENCIAL TUIUTI;MARINGA;-23,3991503;-51,8974246
25668;AVENIDA DOM CLAUDIO JOSE GONCALVES PONCE DE LEAO;34;91370170;VILA IPIRANGA;PORTO ALEGRE;-30,0106804;-51,1459116
25678;AVENIDA SENADOR SALGADO FILHO;2638;59064000;CANDELARIA;NATAL;-5,8261198;-35,2099082
25696;RUA MONSENHOR ADAUTO;135;16050060;SAO VICENTE;ARACATUBA;-21,2039771;-50,4489404
25692;RUA TABOCA;98;29112470;RIO MARINHO;VILA VELHA;-20,3668142;-40,3601753
27215;RUA ISABEL DE GAMBOA;58;05105040;VILA SANTA EDWIGES;SAO PAULO;-23,5138475;-46,756957
25680;RUA INES BERTUOL;344;89820000;SAO ROMERO;XANXERE;-26,8880767;-52,3895602
25664;RUA MARIA LOPES DOS SANTOS;341;58067224;GRAMAME;JOAO PESSOA;-7,2129086;-34,8526159
25620;RUA INHAMBUGUACU;113;04653100;VILA INGLESA;SAO PAULO;-23,6645829;-46,6719089
25605;RUA SALIM MAHFOUD;516;09820780;PARQUE TERRA NOVA II;SAO BERNARDO DO CAMPO;-23,747883;-46,5468239
25599;RUA GRAUNA;290;83326390;JARDIM CLAUDIA;PINHAIS;-25,4020123;-49,1768074
25601;RUA BEATRIZ DE MELO;250;01001010;VILA PROGRESSO;SAO PAULO;-23,5156925;-46,4395072
25610;RUA MARCO AURELIO;306;05048000;LAPA;SAO PAULO;-23,5298583;-46,6994839
25644;RUA NEWTON DA ROCHA;1457;77402020;SETOR CENTRAL;GURUPI;-11,728809;-49,0775482
25631;RUA DO BEM TE VI;58;15400000;JARDIM ANTONIO JOSE TRINDADE;OLIMPIA;-20,7418576;-48,8912321
25750;RUA PROFESSOR DOUTOR SANDOVAL RIBEIRO RIBAS;85;81270310;CIDADE INDUSTRIAL CURITIBA;CURITIBA;-25,4508381;-49,353386
25758;RUA RIO PARDO;237;39560000;CENTRO;SALINAS;-16,169292;-42,2946808
25769;RUA CANTAGALO;12;23934115;JAPUIBA;ANGRA DOS REIS;-22,9723985;-44,2994248
25762;RUA ALMIRANTE BARROSO;;74360470;JARDIM VILA BOA;GOIANIA;-16,7310331;-49,3183616
25698;RUA MARINGA;294;83040160;SAO CRISTOVAO;SAO JOSE DOS PINHAIS;-25,5248465;-49,1982983
25726;RUA BOTUVERA;906;89066360;ITOUPAVAZINHA;BLUMENAU;-26,8492238;-49,1054531
25720;RUA PIAUI;603;37701024;CENTRO;POCOS DE CALDAS;-21,7814786;-46,5646985
25715;RUA APARICIO RODRIGUES;438;06330080;PARQUE JANDAIA;CARAPICUIBA;-23,5525087;-46,8222798
25722;RUA SOTER DE ARAUJO;89;21832010;SENADOR CAMARA;RIO DE JANEIRO;-22,8847665;-43,487157
25746;RUA PARAIBA;800;39440000;SANTO ANTONIO;JANAUBA;-15,8153233;-43,3049902
