PK_Endereco;nm_logradouro;nu_logradouro;nm_bairro;nm_municipio;sg_uf;vl_latitude;vl_longitude
166;Q 509 BLOCO A;SN;70360510;ASA SUL;BRASILIA;-15,7539969;-47,8957826
169;RUA MARECHAL FLORIANO;607;96810000;CENTRO;SANTA CRUZ DO SUL;-29,7167558;-52,4279935
171;RUA OS DEZOITO DO FORTE;2551;95020472;SAO PELEGRINO;CAXIAS DO SUL;-29,1698857;-51,1872837
173;RUA FADEL;186;22430170;LEBLON;RIO DE JANEIRO;-22,9800954;-43,2209248
175;RUA JAIME VIEIRA LIMA;91;41520970;PAU DA LIMA;SALVADOR;-12,9046098;-38,4781582
179;AVENIDA FLORIANO PEIXOTO;2473;38400702;BRASIL;UBERLANDIA;-18,905136;-48,266247
181;B SAO DOMINGOS;;37476000;ZONA RURAL;CRISTINA;-22,2102702;-45,2630555
185;FEIA DO COMERCIO;5;65000000;PRAIA GRANDE;SAO LUIS;-2,5391099;-44,2829046
188;AVENIDA HISTORIADOR RUBENS DE MENDONCA;1731;78050500;BOSQUE DA SAUDE;CUIABA;-15,583413;-56,078962
191;RUA SODRE;413;40301155;SAO PEDRO;SALVADOR;-12,9805475;-38,515878
193;;39;47600000;LOTEAMENTO;BOM JESUS DA LAPA;-12,9526394;-38,4797534
196;RUA PARANA;360;19900020;CENTRO;OURINHOS;-22,9793261;-49,8689625
198;RUA FRANCISCO SAMPAIO;551;17205050;VILA SAMPAIO BUENO;JAU;-22,2897214;-48,5686861
200;RUA DA POEIRA;3;40040520;NAZARE;SALVADOR;-12,9743116;-38,5069269
202;AVENIDA CORONEL SISSON;301;25266000;VILA ARACI;DUQUE DE CAXIAS;-22,6173912;-43,2009644
204;AVENIDA DO CONTORNO;5491;30110021;FUNCIONARIOS;BELO HORIZONTE;-19,9397816;-43,928426
207;RUA MURIAE;200;31555250;SANTA AMELIA;BELO HORIZONTE;-19,8432172;-43,9796908
209;RUA CRISTOVAO COLOMBO;317;13843034;VILA PARAISO;MOGI GUACU;-22,376207;-46,9328323
211;RUA XV DE NOVEMBRO;559;84930000;CENTRO;JABOTI;-23,7420127;-50,0742746
213;AVENIDA ENGENHEIRO LUIZ CARLOS BERRINI;1168;04571000;CIDADE MONCOES;SAO PAULO;-23,6069945;-46,6936609
215;RUA ONZE DE FEVEREIRO;68;24465370;BRASILANDIA;SAO GONCALO;-22,8218779;-43,0566451
218;RODOVIA BR 116;22881;81690500;TATUQUARA;CURITIBA;-25,5330231;-49,3003021
221;TRAVESSA CALIFORNIA;40;47801220;VILA BRASIL;BARREIRAS;-12,140375;-44,9912646
224;RUA ASSIS BUENO;45;22280080;BOTAFOGO;RIO DE JANEIRO;-22,9572052;-43,1842736
227;PRACA 13 DE MAIO;148;13990000;CENTRO;ESPIRITO SANTO DO PINHAL;-22,1937157;-46,7512991
229;RUA CAPITAO PINTO;64;37445000;CENTRO;CRUZILIA;-21,8386279;-44,8099259
231;AVENIDA CARDOSO MOREIRA;758;28300970;CENTRO;ITAPERUNA;-21,2041175;-41,8912942
234;AVENIDA PASSOS;91;20051040;CENTRO;RIO DE JANEIRO;-22,9035891;-43,1838644
236;RUA 19;510;75075470;BOA VISTA;ANAPOLIS;-16,3041488;-48,9287883
240;AVENIDA COLOMBO SALLES;SN;88210000;PEREQUE;PORTO BELO;-27,1568868;-48,5926726
242;AVENIDA CUPECE;1243;08210040;CIDADE ADEMAR;SAO PAULO;-23,6552539;-46,6689951
245;LOCALIDADE CHACARA SAO JOAO;SN;37780000;;CALDAS;-21,921589;-46,3885642
247;AVENIDA LIDER;560;08280000;CIDADE LIDER;SAO PAULO;-23,5567039;-46,4878833
249;RUA EPAMINONDAS MELO DO AMARAL;955;02542000;SITIO DO MANDAQUI;SAO PAULO;-23,4881592;-46,6591956
251;RUA ALTO JURUA;5;17060170;VILA CAMARGO;BAURU;-22,3152999;-49,0775105
253;RUA 24 DE MAIO;147;60020000;CENTRO;FORTALEZA;-3,7231049;-38,5306286
257;RUA NOVA BRASILIA;44;21061060;BONSUCESSO;RIO DE JANEIRO;-22,865741;-43,2725198
259;RUA SIQUEIRA DE MORAES;555;13201901;CENTRO;JUNDIAI;-23,1863178;-46,8861272
261;RUA APRIGIO DE ARAUJO;1385;14160550;CENTRO;SERTAOZINHO;-21,1400981;-47,9886775
263;RUA 14 DE MARCO;30;40301155;URUGUAI;SALVADOR;-12,9244366;-38,4380919
265;SOLDADO SUL;;70310500;ASA SUL;BRASILIA;-15,7942287;-47,8821658
267;RUA JOAO FRANSNER PIONEIRO;450;89260160;CENTRO;JARAGUA DO SUL;-26,4822209;-49,073477
271;RUA REBOUCAS;484;86060330;;LONDRINA;-23,3059051;-51,1778554
273;AVENIDA AUGUSTO DE LIMA;744;30190001;CENTRO;BELO HORIZONTE;-19,922907;-43,9430718
275;ESTRADA DO MANGUARIBA;23;21853480;SANTA CRUZ;RIO DE JANEIRO;-22,8773769;-43,6344967
278;AVENIDA GENERAL ERNESTO DORNELLES;SN;99170000;CENTRO;SERTAO;-27,9869177;-52,2572816
280;RUA LUIZ SERAPHICO JUNIOR;978;04729080;JARDIM CARAVELAS;SAO PAULO;-23,6380475;-46,7204939
283;RUA DOUTOR CEZARE ARDIZZONI;156;95043210;NOSSA SENHORA DE FATIMA;CAXIAS DO SUL;-29,1634031;-51,1796683
286;RUA MARIA ISAURA DA SILVA MULLER;85;88303055;CENTRO;ITAJAI;-26,9107392;-48,6685341
288;AVENIDA 15 DE NOVEMBRO;SN;95150000;CENTRO;NOVA PETROPOLIS;-29,3676438;-51,1014974
290;AVENIDA MEIRA VASCONCELOS;150;55720000;CENTRO;JOAO ALFREDO;-7,8624387;-35,5907807
293;RODOVIA PRT 280;SN;85525000;MARIOPOLIS;MARIOPOLIS;-26,3569408;-52,5541594
296;RUA MOZART PINTO;336;62700000;CENTRO;CANINDE;-4,3585018;-39,315496
299;RUA ASSUNCAO;366;25075090;JARDIM VINTE E CINCO DE AGOSTO;DUQUE DE CAXIAS;-22,7869796;-43,3046776
301;RUA PEDRO NOEL;104;04703030;JARDIM DAS ACACIAS;SAO PAULO;-23,6213276;-46,6928432
303;RUA 13 DE MAIO;626;17300000;CENTRO;DOIS CORREGOS;-22,3677944;-48,3836951
305;RUA CARMEM PONTE MARCOLINO;815;25635240;ALTO DA SERRA;PETROPOLIS;-22,5302882;-43,1789466
307;RUA JOAO IRIA NOGUEIRA;38;37800000;VIL A SANTO ANTONIO;GUAXUPE;-21,3149956;-46,7077546
309;AVENIDA JOAO VALERIO;148;69053080;NOSSA SRA DAS GRACAS;MANAUS;-3,1067361;-60,024834
312;RUA CONDE DE PORTO ALEGRE;143;25070350;CENTRO;DUQUE DE CAXIAS;-22,7882935;-43,3084456
315;RUA XV DE NOVEMBRO;3280;15042102;CENTRO;SAO JOSE DO RIO PRETO;-20,8143227;-49,381423
