PK_DetEmpresas;cd_natureza_juridica;de_natureza_juridica;de_situacao;de_classif_natureza_juridica;fl_optante_simples;qt_filial;tipo_empresa;fl_optante_simei;de_saude_tributaria;de_nivel_atividade;nu_ordem
6826;2135;EMPRESARIO INDIVIDUAL;RR;ATIVA;0;;PRIVADO;0;AMARELO;MEDIA;4
6826;2135;EMPRESARIO INDIVIDUAL;RR;ATIVA;0;;PRIVADO;0;AMARELO;MEDIA;2
7798;2062;SOCIEDADE EMPRESARIA LIMITADA;PB;ATIVA;0;;PRIVADO;0;VERDE;ALTA;4
8717;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;1;;PRIVADO;0;VERDE;ALTA;2
8731;2062;SOCIEDADE EMPRESARIA LIMITADA;MT;ATIVA;0;;PRIVADO;0;VERDE;ALTA;0
8717;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;1;;PRIVADO;0;VERDE;ALTA;1
8731;2062;SOCIEDADE EMPRESARIA LIMITADA;MT;ATIVA;0;;PRIVADO;0;VERDE;ALTA;1
10741;2062;SOCIEDADE EMPRESARIA LIMITADA;RO;ATIVA;0;;PRIVADO;0;AMARELO;BAIXA;1
8693;2135;EMPRESARIO INDIVIDUAL;RJ;ATIVA;0;;PRIVADO;0;VERDE;MEDIA;0
8566;2135;EMPRESARIO INDIVIDUAL;SC;ATIVA;1;;PRIVADO;0;AZUL;ALTA;0
10757;2135;EMPRESARIO INDIVIDUAL;SP;ATIVA;0;1;PRIVADO;0;AZUL;MEDIA;3
8566;2135;EMPRESARIO INDIVIDUAL;SC;ATIVA;1;;PRIVADO;0;AZUL;ALTA;1
8557;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;TO;ATIVA;1;;PRIVADO;0;VERDE;ALTA;2
10884;2135;EMPRESARIO INDIVIDUAL;PI;ATIVA;0;;PRIVADO;0;AMARELO;MEDIA;0
8644;2135;EMPRESARIO INDIVIDUAL;SE;ATIVA;1;;PRIVADO;1;AMARELO;MEDIA;1
10637;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;3
10663;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;1
10663;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;0
10663;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;2
10644;2135;EMPRESARIO INDIVIDUAL;MT;ATIVA;1;;PRIVADO;1;AMARELO;ALTA;0
8557;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;TO;ATIVA;1;;PRIVADO;0;VERDE;ALTA;0
10678;2062;SOCIEDADE EMPRESARIA LIMITADA;GO;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;1
10637;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;4
10678;2062;SOCIEDADE EMPRESARIA LIMITADA;GO;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;3
10684;2135;EMPRESARIO INDIVIDUAL;SP;BAIXADA;0;;PRIVADO;0;LARANJA;INATIVA;0
10684;2135;EMPRESARIO INDIVIDUAL;SP;BAIXADA;0;;PRIVADO;0;LARANJA;INATIVA;1
10741;2062;SOCIEDADE EMPRESARIA LIMITADA;RO;ATIVA;0;;PRIVADO;0;AMARELO;BAIXA;0
10678;2062;SOCIEDADE EMPRESARIA LIMITADA;GO;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;4
10678;2062;SOCIEDADE EMPRESARIA LIMITADA;GO;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;2
10992;2135;EMPRESARIO INDIVIDUAL;PI;ATIVA;1;;PRIVADO;1;AMARELO;MEDIA;0
10757;2135;EMPRESARIO INDIVIDUAL;SP;ATIVA;0;1;PRIVADO;0;AZUL;MEDIA;1
11596;2135;EMPRESARIO INDIVIDUAL;MS;ATIVA;1;;PRIVADO;1;AMARELO;MEDIA;0
11114;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;ATIVA;1;1;PRIVADO;0;AZUL;ALTA;1
11576;2135;EMPRESARIO INDIVIDUAL;GO;ATIVA;1;;PRIVADO;0;AZUL;ALTA;3
10871;2135;EMPRESARIO INDIVIDUAL;RO;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;0
11132;2135;EMPRESARIO INDIVIDUAL;PE;ATIVA;0;;PRIVADO;0;AZUL;MEDIA;0
10854;2062;SOCIEDADE EMPRESARIA LIMITADA;MT;ATIVA;0;;PRIVADO;0;AMARELO;ALTA;2
9894;2135;EMPRESARIO INDIVIDUAL;PA;ATIVA;0;;PRIVADO;0;AZUL;ALTA;2
9894;2135;EMPRESARIO INDIVIDUAL;PA;ATIVA;0;;PRIVADO;0;AZUL;ALTA;4
9954;2062;SOCIEDADE EMPRESARIA LIMITADA;RS;ATIVA;0;;PRIVADO;0;AMARELO;BAIXA;1
10854;2062;SOCIEDADE EMPRESARIA LIMITADA;MT;ATIVA;0;;PRIVADO;0;AMARELO;ALTA;4
11576;2135;EMPRESARIO INDIVIDUAL;GO;ATIVA;1;;PRIVADO;0;AZUL;ALTA;1
10858;2135;EMPRESARIO INDIVIDUAL;MG;ATIVA;0;;PRIVADO;0;AZUL;ALTA;1
11114;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;ATIVA;1;1;PRIVADO;0;AZUL;ALTA;0
8821;2135;EMPRESARIO INDIVIDUAL;PB;ATIVA;1;;PRIVADO;1;AZUL;ALTA;3
8874;2135;EMPRESARIO INDIVIDUAL;PI;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;1
8874;2135;EMPRESARIO INDIVIDUAL;PI;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;0
11298;2135;EMPRESARIO INDIVIDUAL;;BAIXADA;0;;PRIVADO;0;VERDE;INATIVA;1
8874;2135;EMPRESARIO INDIVIDUAL;PI;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;3
8609;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;ATIVA;1;;PRIVADO;0;AZUL;ALTA;1
10741;2062;SOCIEDADE EMPRESARIA LIMITADA;RO;ATIVA;0;;PRIVADO;0;AMARELO;BAIXA;4
11261;2062;SOCIEDADE EMPRESARIA LIMITADA;PA;ATIVA;0;1;PRIVADO;0;VERDE;ALTA;1
10861;2135;EMPRESARIO INDIVIDUAL;PR;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;2
10861;2135;EMPRESARIO INDIVIDUAL;PR;ATIVA;1;;PRIVADO;0;AZUL;BAIXA;4
11576;2135;EMPRESARIO INDIVIDUAL;GO;ATIVA;1;;PRIVADO;0;AZUL;ALTA;0
11572;2062;SOCIEDADE EMPRESARIA LIMITADA;RN;ATIVA;0;;PRIVADO;0;VERDE;ALTA;2
10864;2062;SOCIEDADE EMPRESARIA LIMITADA;PR;ATIVA;0;;PRIVADO;0;LARANJA;MUITO BAIXA;0
8728;2062;SOCIEDADE EMPRESARIA LIMITADA;PR;ATIVA;1;;PRIVADO;0;LARANJA;BAIXA;0
11793;2135;EMPRESARIO INDIVIDUAL;DF;ATIVA;0;;PRIVADO;0;AZUL;ALTA;3
11783;2135;EMPRESARIO INDIVIDUAL;RS;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;2
11793;2135;EMPRESARIO INDIVIDUAL;DF;ATIVA;0;;PRIVADO;0;AZUL;ALTA;2
11980;2135;EMPRESARIO INDIVIDUAL;AP;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;3
10637;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;0
11797;2135;EMPRESARIO INDIVIDUAL;PR;ATIVA;0;;PRIVADO;0;AMARELO;BAIXA;2
11980;2135;EMPRESARIO INDIVIDUAL;AP;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;0
11948;2135;EMPRESARIO INDIVIDUAL;RS;ATIVA;1;;PRIVADO;1;LARANJA;BAIXA;0
11873;2062;SOCIEDADE EMPRESARIA LIMITADA;CE;ATIVA;1;;PRIVADO;0;AMARELO;MEDIA;2
11903;2143;COOPERATIVA;RS;ATIVA;0;;PRIVADO;0;AMARELO;BAIXA;0
11886;2062;SOCIEDADE EMPRESARIA LIMITADA;AL;ATIVA;1;;PRIVADO;0;AZUL;MEDIA;3
11878;2135;EMPRESARIO INDIVIDUAL;PR;ATIVA;0;1;PRIVADO;0;AZUL;BAIXA;0
11385;2062;SOCIEDADE EMPRESARIA LIMITADA;PB;ATIVA;0;;PRIVADO;0;AZUL;ALTA;1
