PK_DetEmpresas;cd_natureza_juridica;de_natureza_juridica;de_situacao;de_classif_natureza_juridica;fl_optante_simples;qt_filial;tipo_empresa;fl_optante_simei;de_saude_tributaria;de_nivel_atividade;nu_ordem
12497;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;0;;PRIVADO;0;AZUL;ALTA;4
12497;2135;EMPRESARIO INDIVIDUAL;AM;ATIVA;0;;PRIVADO;0;AZUL;ALTA;2
12467;2062;SOCIEDADE EMPRESARIA LIMITADA;AM;ATIVA;1;;PRIVADO;0;AZUL;ALTA;4
12461;2135;EMPRESARIO INDIVIDUAL;RS;ATIVA;1;;PRIVADO;0;AMARELO;BAIXA;2
9623;2062;SOCIEDADE EMPRESARIA LIMITADA;SP;BAIXADA;0;;PRIVADO;0;LARANJA;INATIVA;1
13388;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;1
13461;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;ATIVA;0;;PRIVADO;0;VERDE;MEDIA;0
13461;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;ATIVA;0;;PRIVADO;0;VERDE;MEDIA;1
13432;2135;EMPRESARIO INDIVIDUAL;ES;ATIVA;1;;PRIVADO;1;AZUL;ALTA;4
13388;2062;SOCIEDADE EMPRESARIA LIMITADA;RJ;ATIVA;1;;PRIVADO;0;VERDE;MEDIA;0
13432;2135;EMPRESARIO INDIVIDUAL;ES;ATIVA;1;;PRIVADO;1;AZUL;ALTA;3
